name,date,store,prices,image_url
MS Smjörvi 400 gr,2023-07-26,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-07-27,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-07-28,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-07-29,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-07-30,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-07-31,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-08-01,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-08-02,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-08-03,Bonus,677,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-08-04,Bonus,695,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-08-05,Bonus,695,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-08-06,Bonus,695,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-08-07,Bonus,695,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-08-08,Bonus,695,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-08-10,Bonus,695,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-08-11,Bonus,695,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-08-12,Bonus,695,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-08-13,Bonus,695,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
MS Smjörvi 400 gr,2023-08-14,Bonus,695,https://verdgattin.fra1.cdn.digitaloceanspaces.com/smjorvi.png
